日期,收盘,开盘,高,低,,
2024/4/19,2413.80 ,2394.00 ,2433.30 ,2386.80 ,,
2024/4/18,2398.00 ,2377.90 ,2408.00 ,2377.20 ,,
2024/4/17,2388.40 ,2398.00 ,2412.00 ,2370.70 ,,
2024/4/16,2407.80 ,2399.10 ,2414.80 ,2379.20 ,,
2024/4/15,2383.00 ,2369.40 ,2404.30 ,2340.20 ,,
2024/4/12,2374.10 ,2389.40 ,2448.80 ,2350.60 ,,
2024/4/11,2372.70 ,2351.70 ,2395.60 ,2343.10 ,,
2024/4/10,2348.40 ,2372.40 ,2378.10 ,2337.10 ,,
2024/4/9,2362.40 ,2358.10 ,2384.50 ,2355.70 ,,
2024/4/8,2351.00 ,2343.60 ,2372.50 ,2321.70 ,,
2024/4/5,2345.40 ,2309.50 ,2350.00 ,2286.20 ,,
2024/4/4,2308.50 ,2321.00 ,2325.30 ,2298.70 ,,
2024/4/3,2315.00 ,2301.70 ,2321.80 ,2285.70 ,,
2024/4/2,2281.80 ,2272.70 ,2301.90 ,2267.10 ,,
2024/4/1,2257.10 ,2259.20 ,2286.40 ,2249.10 ,,
2024/3/29,2254.80 ,2254.80 ,2254.80 ,2254.80 ,,
2024/3/28,2238.40 ,2215.70 ,2256.90 ,2207.50 ,,
2024/3/27,2212.70 ,2200.50 ,2218.30 ,2193.70 ,,
2024/3/26,2187.80 ,2183.00 ,2210.70 ,2179.30 ,,
2024/3/25,2186.80 ,2177.50 ,2192.70 ,2175.00 ,,
2024/3/22,2170.20 ,2193.30 ,2198.00 ,2169.30 ,,
2024/3/21,2195.00 ,2200.10 ,2231.30 ,2178.90 ,,
2024/3/20,2171.00 ,2171.30 ,2201.40 ,2164.20 ,,
2024/3/19,2169.80 ,2174.20 ,2175.00 ,2162.10 ,,
2024/3/18,2174.50 ,2169.10 ,2176.00 ,2160.00 ,,
2024/3/15,2171.60 ,2175.50 ,2186.70 ,2169.40 ,,
2024/3/14,2167.50 ,2179.50 ,2181.30 ,2157.00 ,,
2024/3/13,2180.80 ,2163.60 ,2185.60 ,2161.30 ,,
2024/3/12,2166.10 ,2189.10 ,2190.80 ,2156.20 ,,
2024/3/11,2188.60 ,2187.60 ,2195.50 ,2180.90 ,,
2024/3/8,2185.50 ,2166.60 ,2203.00 ,2161.20 ,,
2024/3/7,2165.20 ,2156.70 ,2172.20 ,2151.70 ,,
2024/3/6,2158.20 ,2136.40 ,2160.70 ,2131.90 ,,
2024/3/5,2141.90 ,2123.30 ,2150.50 ,2118.50 ,,
2024/3/4,2126.30 ,2091.60 ,2128.40 ,2088.10 ,,
2024/3/1,2095.70 ,2052.80 ,2097.10 ,2047.00 ,,
2024/2/29,2054.70 ,2043.80 ,2059.40 ,2036.00 ,,
2024/2/28,2042.70 ,2039.70 ,2047.40 ,2033.40 ,,
2024/2/27,2034.40 ,2031.00 ,2038.00 ,2028.70 ,,
2024/2/26,2029.10 ,2033.70 ,2036.30 ,2025.00 ,,
2024/2/23,2039.40 ,2024.10 ,2041.50 ,2015.60 ,,
2024/2/22,2030.70 ,2036.50 ,2045.50 ,2029.30 ,,
2024/2/21,2034.30 ,2036.20 ,2043.50 ,2030.90 ,,
2024/2/20,2039.80 ,2027.70 ,2042.70 ,2023.90 ,,
2024/2/19,2027.50 ,2025.70 ,2034.30 ,2024.65 ,,
2024/2/16,2024.10 ,2016.10 ,2027.20 ,2006.60 ,,
2024/2/15,2014.90 ,2004.80 ,2020.20 ,2001.80 ,,
2024/2/13,2007.20 ,2033.70 ,2047.30 ,2002.80 ,,
2024/2/12,2033.00 ,2038.20 ,2041.80 ,2025.40 ,,
2024/2/9,2038.70 ,2049.70 ,2051.90 ,2034.30 ,,
2024/2/8,2047.90 ,2051.00 ,2053.80 ,2034.60 ,,
2024/2/7,2051.70 ,2052.60 ,2061.30 ,2046.40 ,,
2024/2/6,2051.40 ,2041.40 ,2055.30 ,2038.80 ,,
2024/2/5,2042.90 ,2057.90 ,2059.10 ,2030.80 ,,
2024/2/2,2053.70 ,2072.00 ,2074.70 ,2044.20 ,,
2024/2/1,2071.10 ,2057.90 ,2083.20 ,2046.40 ,,
2024/1/31,2067.40 ,2055.30 ,2074.60 ,2048.80 ,,
2024/1/30,2050.90 ,2051.50 ,2068.00 ,2047.10 ,,
2024/1/29,2034.90 ,2035.80 ,2046.50 ,2028.20 ,,
2024/1/26,2026.60 ,2028.90 ,2035.70 ,2025.40 ,,
2024/1/25,2027.10 ,2025.40 ,2034.00 ,2017.00 ,,
2024/1/24,2025.40 ,2039.40 ,2046.20 ,2021.90 ,,
2024/1/23,2035.20 ,2032.80 ,2045.40 ,2031.50 ,,
2024/1/22,2031.50 ,2040.40 ,2043.00 ,2027.40 ,,
2024/1/19,2038.50 ,2033.70 ,2050.10 ,2031.80 ,,
2024/1/18,2031.10 ,2021.30 ,2034.20 ,2017.50 ,,
2024/1/17,2015.90 ,2040.80 ,2041.00 ,2014.60 ,,
2024/1/16,2039.70 ,2060.00 ,2069.70 ,2037.50 ,,
2024/1/15,2057.85 ,2051.30 ,2062.50 ,2049.50 ,,
2024/1/12,2061.10 ,2045.00 ,2075.80 ,2044.20 ,,
2024/1/11,2028.90 ,2039.40 ,2060.10 ,2027.40 ,,
2024/1/10,2037.50 ,2046.20 ,2052.00 ,2036.40 ,,
2024/1/9,2033.00 ,2034.50 ,2048.60 ,2031.90 ,,
2024/1/8,2033.50 ,2052.60 ,2053.30 ,2022.70 ,,
2024/1/5,2049.80 ,2051.40 ,2071.10 ,2030.80 ,,
2024/1/4,2050.00 ,2049.30 ,2058.10 ,2043.30 ,,
2024/1/3,2042.80 ,2067.90 ,2074.30 ,2038.30 ,,
2024/1/2,2073.40 ,2072.70 ,2088.10 ,2064.30 ,,
2024/1/1,2072.90 ,2071.75 ,2075.70 ,2071.75 ,,
2023/12/29,2071.80 ,2076.10 ,2084.10 ,2067.60 ,,
2023/12/28,2083.50 ,2089.50 ,2098.20 ,2074.60 ,,
2023/12/27,2083.40 ,2068.00 ,2085.30 ,2063.30 ,,
2023/12/26,2060.40 ,2056.30 ,2069.60 ,2056.30 ,,
2023/12/25,2066.65 ,2065.30 ,2067.60 ,2065.30 ,,
2023/12/22,2059.60 ,2051.50 ,2072.30 ,2049.40 ,,
2023/12/21,2041.80 ,2034.70 ,2048.00 ,2034.00 ,,
2023/12/20,2038.10 ,2043.50 ,2045.90 ,2031.60 ,,
2023/12/19,2042.60 ,2031.00 ,2050.00 ,2025.40 ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
